DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-06,4.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-07,4.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-08,4.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-09,4.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-10,4.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-11,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2001-12,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-01,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-02,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-03,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-04,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-05,4.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-06,4.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-07,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-08,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-09,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-10,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-11,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2002-12,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-01,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-02,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-03,4.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-04,4.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-05,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-06,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-07,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-08,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-09,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-10,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-11,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2003-12,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-01,6.1,b,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-02,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-03,5.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-04,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-05,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-06,5.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-07,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-08,5.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-09,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-10,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-11,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2004-12,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-01,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-02,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-03,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-04,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-05,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-06,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-07,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-08,5.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-09,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-10,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-11,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2005-12,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-01,6.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-02,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-03,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-04,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-05,5.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-06,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-07,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-08,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-09,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-10,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-11,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2006-12,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-01,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-02,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-03,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-04,5.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-05,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-06,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-07,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-08,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-09,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-10,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-11,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2007-12,4.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-01,4.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-02,4.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-03,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-04,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-05,4.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-06,3.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-07,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-08,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-09,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-10,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-11,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2008-12,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-01,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-02,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-03,5.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-04,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-05,5.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-06,5.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-07,6.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-08,5.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-09,6.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-10,5.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-11,6.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2009-12,5.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-01,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-02,5.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-03,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-04,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-05,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-06,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-07,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-08,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-09,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-10,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-11,4.7,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2010-12,4.8,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-01,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-02,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-03,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-04,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-05,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-06,4.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-07,4.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-08,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-09,4.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-10,5.2,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-11,5.3,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2011-12,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-01,4.6,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-02,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-03,4.9,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-04,5.0,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-05,5.1,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-06,5.5,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-07,5.4,,
ESTAT:UNE_RT_M(1.0),27/03/25 23:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of population in the labour force,Total,Austria,2012-08,5.5,,
